HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.tweet,Answer.sentiment,Answer.subphrases,Answer.tweet_id,Answer.tweet_text,Approve,Reject
2F55F3Q0JG5XJOA2UX24JF9SZQDHDE,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:03 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:03 GMT 2014,,,28349F9SSSH1M36ELRK5R5F8YG2TXG,A19J8QB6W7Z8BF,Approved,Wed Jan 15 15:22:47 GMT 2014,Wed Jan 15 15:23:20 GMT 2014,Thu Jan 16 07:23:20 PST 2014,Wed Jan 15 07:34:41 PST 2014,,,33,100% (100/100),100% (100/100),100% (100/100),1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",negative,neeeeeennnnnneeeeeeeennnnn,1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",,
2F55F3Q0JG5XJOA2UX24JF9SZQDHDE,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:03 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:03 GMT 2014,,,2TEJUNU8LZ6VS23VP8ZDIJ3VTJC3JN,A2HR7ZIX42FEPG,Approved,Wed Jan 15 16:04:17 GMT 2014,Wed Jan 15 16:04:46 GMT 2014,Thu Jan 16 08:04:46 PST 2014,Wed Jan 15 08:07:16 PST 2014,,,29,100% (59/59),100% (59/59),100% (59/59),1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",negative,aeeeeeeeeeeeeeeeeeeennnnnn,1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",,
2F55F3Q0JG5XJOA2UX24JF9SZQDHDE,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:03 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:03 GMT 2014,,,2R8YQ4J3NABAWH95DNPYST1TYRSDQL,AS809NPDW8VZ0,Approved,Wed Jan 15 15:46:28 GMT 2014,Wed Jan 15 15:46:49 GMT 2014,Thu Jan 16 07:46:49 PST 2014,Wed Jan 15 07:49:59 PST 2014,,,21,100% (79/79),100% (79/79),100% (79/79),1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",positive,aaaaaaaaaaaaaaaaaaaaannnnn,1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",,
2F55F3Q0JG5XJOA2UX24JF9SZQDHDE,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:03 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:03 GMT 2014,,,2CBENLVWJ5OTW2LLEYZYWWB7T1QT1R,A111JI6APXR6QV,Approved,Wed Jan 15 16:33:17 GMT 2014,Wed Jan 15 16:33:31 GMT 2014,Thu Jan 16 08:33:31 PST 2014,Wed Jan 15 09:00:05 PST 2014,,,14,100% (198/198),100% (198/198),100% (148/148),1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",negative,,1377612,"Wow. I think many of my friends decided to go HK this weekend from the instag, FB & Twitter updates. & I'm still here in Singapore.",,
2U78PJWKUDDCIOYTO20ZAB6U0M29KT,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:02 GMT 2014,6,BatchId:1385688;,3600,86400,Wed Jan 22 16:54:39 GMT 2014,,,224M6IAA2SEMFWHQYNHKUA4IX4YMM0,A13I8GYETPZSZW,Approved,Wed Jan 15 18:05:16 GMT 2014,Wed Jan 15 18:05:49 GMT 2014,Thu Jan 16 10:05:49 PST 2014,Thu Jan 16 01:06:25 PST 2014,,,33,100% (20/20),100% (20/20),100% (20/20),3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,neutral,eeeeeeeeeeeeeeeeee,3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,,
2U78PJWKUDDCIOYTO20ZAB6U0M29KT,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:02 GMT 2014,6,BatchId:1385688;,3600,86400,Wed Jan 22 16:54:39 GMT 2014,,,26KBRI8IUB22FBV9FRKLL3L0UNWH5J,A19J8QB6W7Z8BF,Approved,Wed Jan 15 14:58:08 GMT 2014,Wed Jan 15 14:58:27 GMT 2014,Thu Jan 16 06:58:27 PST 2014,Wed Jan 15 07:05:36 PST 2014,,,19,100% (100/100),100% (100/100),100% (100/100),3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,neutral,eeeeeeeeeeeeeee,3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,,
2U78PJWKUDDCIOYTO20ZAB6U0M29KT,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:02 GMT 2014,6,BatchId:1385688;,3600,86400,Wed Jan 22 16:54:39 GMT 2014,,,22LLB3L0FBJD3QY9CIIE5E5R43SXLT,A1C2LRGS40747I,Approved,Wed Jan 15 18:07:41 GMT 2014,Wed Jan 15 18:07:57 GMT 2014,Thu Jan 16 10:07:57 PST 2014,Thu Jan 16 01:06:25 PST 2014,,,16,100% (60/60),100% (60/60),100% (60/60),3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,neutral,eeaaaaaaaaaaaaa,3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,,
2U78PJWKUDDCIOYTO20ZAB6U0M29KT,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:02 GMT 2014,6,BatchId:1385688;,3600,86400,Wed Jan 22 16:54:39 GMT 2014,,,2QKNTL0XULRK8VY91LDD75FPMZMO2G,AS809NPDW8VZ0,Approved,Wed Jan 15 16:00:22 GMT 2014,Wed Jan 15 16:00:47 GMT 2014,Thu Jan 16 08:00:47 PST 2014,Wed Jan 15 08:02:40 PST 2014,,,25,100% (79/79),100% (79/79),100% (79/79),3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,neutral,aaaaaaaaaaaaaaa,3728607,Who's selling an unlocked iPhone 4 or something of the sort for T-Mobile or AT&T???,,
217EIB9BAWLW7ZCG3UOUN3MTYP4Z2C,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:05 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:05 GMT 2014,,,21QNJ92NJKM4QD99RT8Y62GT4LGD8K,A13I8GYETPZSZW,Approved,Wed Jan 15 18:01:34 GMT 2014,Wed Jan 15 18:02:18 GMT 2014,Thu Jan 16 10:02:18 PST 2014,Thu Jan 16 01:06:30 PST 2014,,,44,100% (20/20),100% (20/20),100% (20/20),5710514,"Well twitter died, so goodnight",negative,nnnnnnnnnnnnn,5710514,"Well twitter died, so goodnight",,
217EIB9BAWLW7ZCG3UOUN3MTYP4Z2C,2DRB49F9SSSLI3O9MMJTFH5F8NGWSJ,Determine the sentiment of tweets about technology,"Determine the sentiment of a tweet, and any sub-phrases.","sentiment, twitter, tweets, classification",$0.10,Wed Jan 15 14:14:05 GMT 2014,4,BatchId:1385688;,3600,86400,Wed Jan 22 14:14:05 GMT 2014,,,2ZV6XBAT2D5RB0AVD2H0TG5TDY1519,A19J8QB6W7Z8BF,Approved,Wed Jan 15 15:09:19 GMT 2014,Wed Jan 15 15:09:31 GMT 2014,Thu Jan 16 07:09:31 PST 2014,Wed Jan 15 07:13:13 PST 2014,,,12,100% (100/100),100% (100/100),100% (100/100),5710514,"Well twitter died, so goodnight",negative,nnnee,5710514,"Well twitter died, so goodnight",,
